tweet_id,username,tweet,tweetTime
1,balaji@gmail.com,hello..#I_Am_Here,3/19/16 6:32
2,balaji@gmail.com,I am a twitter user,3/19/16 6:32
4,avinash@gmail.com,It's been a bright day today,3/19/16 6:32
7,abhishek@gmail.com,Hey...!! Abhi is now on Twitter....!!,3/19/16 6:32
8,balaji@gmail.com,Lots to do in life...Keeping #busy,3/19/16 6:32
12,sharat@gmail.com,Hey..Sharat here,3/19/16 6:32
13,abhishek@gmail.com,#India vs #Pakistan Lets #Nike,3/19/16 6:32
14,sharat@gmail.com,Weekend is here,3/19/16 6:32
15,avinash@gmail.com,Bugged with homeoworks,3/19/16 6:32
16,swaroop@gmail.com,College life is the best life,3/19/16 6:32
17,avinash@gmail.com,Just do it #Nike,3/19/16 6:32
18,balaji@gmail.com,I am a #Nike fan,3/19/16 6:33
19,balaji@gmail.com,wowwwwwww.....Its soooo cool,3/19/16 6:34
20,balaji@gmail.com,this #text has #hashtags in it,3/19/16 16:09
